Unit_Name,Designation,State,Region,NPS_Fee_Acres,NPS_Less_Than_Fee_Acres,Other_Federal_Fee_Acres,Subtotal_Federal_Acres,Other_Public_Acres,Private_Acres,Subtotal_Non_Federal_Acres,Gross_Area_Acres
BANDELIER NM,National Monument,NM,Intermountain,33654.44,0.0,0.0,33654.44,0.0,22.23,22.23,33676.67
BADLANDS NP,National Park,SD,Midwest,111487.63,122321.5,0.0,233809.13,39.24,8907.57,8946.81,242755.94
BENT'S OLD FORT NHS,National Historic Site,CO,Intermountain,735.6,0.0,0.0,735.6,7.4,55.8,63.2,798.8
BELMONT-PAUL WOMENS EQLTY NM,National Monument,DC,National Capital,0.34,0.0,0.0,0.34,0.0,0.0,0.0,0.34
AZTEC RUINS NM,National Monument,NM,Intermountain,266.78,0.0,0.0,266.78,6.78,44.84,51.62,318.4
ARKANSAS POST NMEM,Memorial,AR,Midwest,649.91,0.0,14.0,663.91,0.0,93.6,93.6,757.51
ASSATEAGUE ISLAND NS,National Seashore,MD-VA,Northeast,8983.42,102.16,9842.69,18928.27,22389.33,28.9,22418.23,41346.5
"ARL HOUSE, R E LEE MEM",Memorial,VA,National Capital,28.08,0.0,0.0,28.08,0.0,0.0,0.0,28.08
BIG BEND NP,National Park,TX,Intermountain,775273.38,0.0,0.0,775273.38,2606.87,23282.96,25889.83,801163.21
BERING LAND BRIDGE N PRES,National Preserve,AK,Alaska,2651327.6,0.0,0.0,2651327.6,0.0,46063.41,46063.41,2697391.01
BIG CYPRESS ADDITION,Other Designation,FL,Southeast,141476.97,0.0,0.0,141476.97,3541.14,1092.58,4633.72,146110.69
ALAGNAK WILD RVR,Other Designation,AK,Alaska,26417.85,0.0,0.0,26417.85,2265.0,1981.94,4246.94,30664.79
AGATE FOSSIL BEDS NM,National Monument,NE,Midwest,2270.33,459.75,0.0,2730.08,24.43,303.36,327.79,3057.87
ALLEGHENY PRTGE RR NHS,National Historic Site,PA,Northeast,1255.02,0.0,0.0,1255.02,16.25,13.0,29.25,1284.27
ALIBATES FLINT QUARRIES N,Other Designation,TX,Intermountain,1079.23,0.0,0.0,1079.23,0.0,291.74,291.74,1370.97
AFRICAN BURIAL GROUND NM,National Monument,NY,Northeast,0.35,0.0,0.0,0.35,0.0,0.0,0.0,0.35
A LINCOLN BIRTHPL NHP,National Historical Park,KY,Southeast,344.5,0.0,0.0,344.5,0.0,0.0,0.0,344.5
ARCHES NP,National Park,UT,Intermountain,76545.95,0.0,0.0,76545.95,133.03,0.0,133.03,76678.98
ADAMS NHP,National Historical Park,MA,Northeast,9.17,0.0,0.0,9.17,4.0,10.65,14.65,23.82
ACADIA NP,National Park,ME,Northeast,37415.54,10695.4,21.77,48132.71,48.22,876.43,924.65,49057.36
APOSTLE ISLANDS NL,National Lakeshore,WI,Midwest,42160.7,0.0,0.0,42160.7,27216.73,0.0,27216.73,69377.43
ANTIETAM NB,National Battlefield,MD,National Capital,1937.09,805.68,0.0,2742.77,20.98,466.63,487.61,3230.38
APPOMATTOX CRT HS NHP,National Historical Park,VA,Northeast,1695.29,-0.48,0.0,1694.81,2.12,77.19,79.31,1774.12
APPALACHIAN NS TRAIL,National Scenic Trail,ME-GA,National Trails,106352.0,14685.44,58264.08,179301.52,49294.96,8142.85,57437.81,236739.33
ANIAKCHAK NM,National Monument,AK,Alaska,137176.0,0.0,0.0,137176.0,0.0,0.0,0.0,137176.0
ANDERSONVILLE NHS,National Historic Site,GA,Southeast,499.88,1.0,0.0,500.88,7.89,6.84,14.73,515.61
AMISTAD NRA,National Recreation Area,TX,Intermountain,57292.44,0.0,0.0,57292.44,0.0,1207.56,1207.56,58500.0
ANIAKCHAK N PRESERVE,National Preserve,AK,Alaska,458809.35,0.0,0.0,458809.35,5147.0,161.58,5308.58,464117.93
ANDREW JOHNSON NHS,National Historic Site,TN,Southeast,16.68,0.0,0.0,16.68,0.0,0.0,0.0,16.68
CANAVERAL NS,National Seashore,FL,Southeast,17735.69,0.0,39912.0,57647.69,0.0,14.0,14.0,57661.69
CABRILLO NM,National Monument,CA,Pacific West,159.94,0.0,0.0,159.94,0.0,0.0,0.0,159.94
CANYON DE CHELLY NM,National Monument,AZ,Intermountain,0.0,0.0,0.0,0.0,0.0,83840.0,83840.0,83840.0
CANE RIVER CREOLE NHP,National Historical Park,LA,Southeast,62.39,0.0,0.0,62.39,4.64,138.47,143.11,205.5
BUCK ISLAND REEF NM,National Monument,VI,Southeast,880.0,0.0,18135.47,19015.47,0.0,0.0,0.0,19015.47
C & O CANAL NHP,National Historical Park,MD-DC-WV,National Capital,13156.94,1308.25,0.0,14465.19,3173.62,1973.56,5147.18,19612.37
BUFFALO N RVR,National River,AR,Midwest,88385.39,3427.7,0.0,91813.09,2367.91,112.31,2480.22,94293.31
CANYONLANDS NP,National Park,UT,Intermountain,337269.4,301.03,0.0,337570.43,27.4,0.0,27.4,337597.83
CAPITOL REEF NP,National Park,UT,Intermountain,241234.29,0.0,0.0,241234.29,669.97,0.0,669.97,241904.26
CAPE HATTERAS NS,National Seashore,NC,Southeast,24470.1,0.0,5880.0,30350.1,0.0,0.55,0.55,30350.65
CAPE COD NS,National Seashore,MA,Northeast,27113.49,403.64,31.86,27548.99,14556.22,1503.22,16059.44,43608.43
CAPE LOOKOUT NS,National Seashore,NC,Southeast,13915.7,11243.4,14.52,25173.62,3048.16,21.58,3069.74,28243.36
CAPE KRUSENSTERN NM,National Monument,AK,Alaska,617157.16,10033.51,0.0,627190.67,353.0,21552.48,21905.48,649096.15
BIGHORN CANYON NRA,National Recreation Area,MT-WY,Intermountain,47986.04,889.89,19614.94,68490.87,1392.29,50413.06,51805.35,120296.22
BIG THICKET N PRESERVE,National Preserve,TX,Intermountain,107924.93,13.38,0.0,107938.31,3465.7,1096.8,4562.5,112500.81
BLACK CANYON OF GUNNISON,Other Designation,CO,Intermountain,27334.71,3381.77,0.0,30716.48,0.0,33.27,33.27,30749.75
BISCAYNE NP,National Park,FL,Southeast,171021.23,0.0,26.13,171047.36,1563.9,359.85,1923.75,172971.11
BIG CYPRESS N PRESERVE,National Preserve,FL,Southeast,535797.22,0.0,1.48,535798.7,37814.36,840.26,38654.62,574453.32
BRYCE CANYON NP,National Park,UT,Intermountain,35832.58,0.0,0.0,35832.58,0.0,2.5,2.5,35835.08
BIG SOUTH FORK NR & RA,Other Designation,KY-TN,Southeast,114778.57,34.45,0.0,114813.02,2845.5,6035.58,8881.08,123694.1
BIG HOLE NB,National Battlefield,MT,Pacific West,655.61,0.0,0.0,655.61,0.0,320.0,320.0,975.61
BLACKSTONE RIVER VALLEY NHP,National Historical Park,MA-RI,Northeast,0.0,0.0,0.0,0.0,0.0,1489.0,1489.0,1489.0
BOSTON NHP,National Historical Park,MA,Northeast,37.96,0.0,0.0,37.96,5.09,0.77,5.86,43.82
BOSTON HARBOR ISLAND NRA,National Recreation Area,MA,Northeast,0.06,240.51,5.0,245.57,988.74,248.0,1236.74,1482.31
BROWN V. BD OF ED. NHS,National Historic Site,KS,Midwest,1.85,0.0,0.0,1.85,0.0,0.0,0.0,1.85
BRICES CROSS RDS NBS,National Battlefield Site,MS,Southeast,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
BLUESTONE NSR,National River,WV,Northeast,3032.0,0.0,0.0,3032.0,1236.0,41.51,1277.51,4309.51
BLUE RIDGE PKWY,Parkway,NC-VA,National Trails,85425.79,2775.57,125.0,88326.36,259.58,10188.1,10447.68,98774.04
BOSTON AFRI-AMER NHS,National Historic Site,MA,Northeast,0.0,0.0,0.0,0.0,0.06,0.53,0.59,0.59
BOOKER T WASHINGTON NM,National Monument,VA,Northeast,239.01,0.0,0.0,239.01,0.0,0.0,0.0,239.01
CHRISTIANSTED NHS,National Historic Site,VI,Southeast,26.24,0.0,0.0,26.24,0.91,0.0,0.91,27.15
